IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.19.251.15,,,,172 毫秒,10240 kB/s
172.67.97.108,,,,205 毫秒,10240 kB/s
104.19.203.201,,,,205 毫秒,10240 kB/s
172.67.242.178,,,,199 毫秒,10240 kB/s
104.16.213.225,,,,161 毫秒,10240 kB/s
172.67.187.192,,,,189 毫秒,10240 kB/s
104.25.126.9,,,,197 毫秒,10240 kB/s
172.67.25.175,,,,209 毫秒,10240 kB/s
104.24.191.248,,,,192 毫秒,10240 kB/s
104.27.106.226,,,,201 毫秒,10240 kB/s
104.19.50.58,,,,202 毫秒,10240 kB/s
104.19.178.220,,,,176 毫秒,10240 kB/s
104.25.125.223,,,,200 毫秒,10240 kB/s
172.67.7.11,,,,203 毫秒,10240 kB/s
104.20.44.6,,,,197 毫秒,10240 kB/s
104.24.50.172,,,,194 毫秒,10240 kB/s
172.67.202.39,,,,209 毫秒,10240 kB/s
104.24.202.116,,,,193 毫秒,10240 kB/s
104.19.30.100,,,,199 毫秒,10240 kB/s
104.27.107.86,,,,198 毫秒,10240 kB/s
104.17.221.162,,,,180 毫秒,10240 kB/s
104.19.63.184,,,,204 毫秒,10240 kB/s
104.17.174.13,,,,188 毫秒,10240 kB/s
104.20.50.117,,,,192 毫秒,10240 kB/s
104.17.133.149,,,,166 毫秒,10240 kB/s
104.17.196.165,,,,185 毫秒,10240 kB/s
162.159.3.147,,,,212 毫秒,10342 kB/s
104.25.80.91,,,,205 毫秒,10342 kB/s
172.67.10.14,,,,192 毫秒,10342 kB/s
104.21.118.248,,,,200 毫秒,10342 kB/s
104.19.251.183,,,,189 毫秒,10342 kB/s
23.227.60.30,,,,194 毫秒,10342 kB/s
104.23.104.112,,,,193 毫秒,10342 kB/s
104.25.230.231,,,,202 毫秒,10342 kB/s
172.67.242.99,,,,229 毫秒,10342 kB/s
104.16.253.157,,,,189 毫秒,10342 kB/s
104.18.202.60,,,,192 毫秒,10342 kB/s
172.67.63.240,,,,205 毫秒,10342 kB/s
104.16.63.210,,,,186 毫秒,10342 kB/s
104.18.22.184,,,,202 毫秒,10342 kB/s
172.64.152.162,,,,205 毫秒,10342 kB/s
104.19.230.91,,,,160 毫秒,10342 kB/s
104.21.117.28,,,,196 毫秒,10342 kB/s
104.20.164.38,,,,199 毫秒,10342 kB/s
104.24.88.78,,,,200 毫秒,10342 kB/s
104.16.67.92,,,,159 毫秒,10342 kB/s
104.18.169.122,,,,185 毫秒,10342 kB/s
104.24.217.199,,,,204 毫秒,10342 kB/s
104.16.105.235,,,,166 毫秒,10342 kB/s
104.17.57.135,,,,182 毫秒,10342 kB/s
104.25.156.29,,,,200 毫秒,10342 kB/s
104.17.86.81,,,,164 毫秒,10342 kB/s
104.19.118.128,,,,197 毫秒,10342 kB/s
104.19.238.56,,,,164 毫秒,10342 kB/s
104.17.192.62,,,,176 毫秒,10342 kB/s
104.18.70.233,,,,180 毫秒,10342 kB/s
104.19.243.24,,,,190 毫秒,10342 kB/s
104.21.209.176,,,,190 毫秒,10342 kB/s
104.25.66.129,,,,200 毫秒,10342 kB/s
104.16.231.39,,,,169 毫秒,10342 kB/s
104.25.225.159,,,,199 毫秒,10342 kB/s
188.114.99.163,,,,206 毫秒,10342 kB/s
104.19.212.52,,,,167 毫秒,10342 kB/s
104.18.66.215,,,,174 毫秒,10342 kB/s
104.24.20.62,,,,200 毫秒,10342 kB/s
104.24.37.43,,,,198 毫秒,10342 kB/s
104.19.125.7,,,,197 毫秒,10342 kB/s
104.27.58.148,,,,201 毫秒,10342 kB/s
104.25.91.140,,,,202 毫秒,10342 kB/s
104.16.90.174,,,,167 毫秒,10342 kB/s
104.16.125.105,,,,178 毫秒,10342 kB/s
104.17.160.92,,,,168 毫秒,10342 kB/s
104.27.32.213,,,,187 毫秒,10342 kB/s
172.64.159.165,,,,188 毫秒,10342 kB/s
104.16.181.141,,,,168 毫秒,10342 kB/s
104.19.209.23,,,,161 毫秒,10342 kB/s
104.17.244.70,,,,185 毫秒,10342 kB/s
104.16.89.16,,,,182 毫秒,10444 kB/s
104.17.82.157,,,,238 毫秒,10444 kB/s
172.64.153.122,,,,198 毫秒,10444 kB/s
104.24.31.141,,,,227 毫秒,10444 kB/s
104.24.73.209,,,,248 毫秒,10444 kB/s
190.93.244.144,,,,175 毫秒,10444 kB/s
104.16.83.91,,,,188 毫秒,10444 kB/s
104.21.239.215,,,,196 毫秒,10444 kB/s
104.18.195.79,,,,164 毫秒,10444 kB/s
104.22.35.237,,,,186 毫秒,10444 kB/s
104.17.18.62,,,,158 毫秒,10444 kB/s
104.17.72.183,,,,173 毫秒,10444 kB/s
104.21.236.103,,,,186 毫秒,10444 kB/s
104.19.127.105,,,,197 毫秒,10444 kB/s
104.16.40.246,,,,179 毫秒,10444 kB/s
104.17.50.3,,,,167 毫秒,10444 kB/s
104.27.20.117,,,,195 毫秒,10444 kB/s
104.21.113.7,,,,194 毫秒,10444 kB/s
104.21.208.12,,,,223 毫秒,10444 kB/s
172.67.126.156,,,,209 毫秒,10444 kB/s
104.19.162.225,,,,181 毫秒,10444 kB/s
104.19.224.50,,,,175 毫秒,10444 kB/s
104.18.91.231,,,,185 毫秒,10444 kB/s
162.159.6.191,,,,194 毫秒,10444 kB/s
104.17.88.189,,,,169 毫秒,10444 kB/s
104.20.163.182,,,,187 毫秒,10444 kB/s
104.23.121.247,,,,206 毫秒,10444 kB/s
104.22.68.133,,,,209 毫秒,10444 kB/s
104.20.227.238,,,,191 毫秒,10444 kB/s
104.16.5.56,,,,173 毫秒,10444 kB/s
104.20.50.126,,,,202 毫秒,10444 kB/s
104.19.112.66,,,,205 毫秒,10444 kB/s
104.17.26.72,,,,157 毫秒,10444 kB/s
104.16.161.89,,,,182 毫秒,10444 kB/s
104.21.111.171,,,,199 毫秒,10444 kB/s
162.159.244.225,,,,196 毫秒,10444 kB/s
104.21.88.180,,,,197 毫秒,10444 kB/s
104.22.65.77,,,,203 毫秒,10444 kB/s
104.24.193.201,,,,196 毫秒,10444 kB/s
104.17.238.243,,,,162 毫秒,10444 kB/s
104.19.70.147,,,,200 毫秒,10444 kB/s
141.101.123.162,,,,210 毫秒,10444 kB/s
104.16.136.43,,,,167 毫秒,10444 kB/s
172.67.96.151,,,,209 毫秒,10444 kB/s
104.24.199.35,,,,201 毫秒,10444 kB/s
172.64.42.186,,,,206 毫秒,10444 kB/s
172.67.14.84,,,,220 毫秒,10444 kB/s
104.16.21.204,,,,167 毫秒,10444 kB/s
104.24.193.196,,,,199 毫秒,10444 kB/s
104.16.108.91,,,,256 毫秒,10547 kB/s
104.18.177.30,,,,242 毫秒,10547 kB/s
104.17.60.186,,,,200 毫秒,10547 kB/s
104.19.181.210,,,,221 毫秒,10547 kB/s
104.22.70.177,,,,199 毫秒,10547 kB/s
104.17.191.132,,,,208 毫秒,10547 kB/s
104.17.112.93,,,,210 毫秒,10547 kB/s
104.17.188.206,,,,223 毫秒,10547 kB/s
104.19.163.113,,,,181 毫秒,10547 kB/s
104.18.146.145,,,,161 毫秒,10547 kB/s
104.17.164.17,,,,171 毫秒,10547 kB/s
104.18.76.183,,,,183 毫秒,10547 kB/s
104.16.70.252,,,,169 毫秒,10547 kB/s
104.17.82.6,,,,162 毫秒,10547 kB/s
172.64.69.107,,,,206 毫秒,10547 kB/s
104.20.164.181,,,,193 毫秒,10547 kB/s
172.67.183.14,,,,196 毫秒,10547 kB/s
104.16.7.119,,,,166 毫秒,10547 kB/s
104.24.58.204,,,,200 毫秒,10547 kB/s
104.21.236.158,,,,184 毫秒,10547 kB/s
104.20.33.154,,,,202 毫秒,10547 kB/s
104.24.49.151,,,,205 毫秒,10547 kB/s
104.27.74.39,,,,194 毫秒,10547 kB/s
141.101.121.120,,,,189 毫秒,10547 kB/s
104.25.93.46,,,,207 毫秒,10547 kB/s
104.16.120.13,,,,162 毫秒,10547 kB/s
104.18.13.105,,,,205 毫秒,10547 kB/s
104.18.143.170,,,,165 毫秒,10547 kB/s
104.20.255.96,,,,206 毫秒,10547 kB/s
104.20.111.189,,,,208 毫秒,10547 kB/s
104.18.237.211,,,,160 毫秒,10547 kB/s
104.18.3.201,,,,196 毫秒,10547 kB/s
104.19.130.14,,,,196 毫秒,10547 kB/s
104.19.248.202,,,,172 毫秒,10547 kB/s
104.21.225.56,,,,165 毫秒,10547 kB/s
104.18.46.93,,,,202 毫秒,10547 kB/s
104.27.25.61,,,,203 毫秒,10547 kB/s
104.21.73.139,,,,200 毫秒,10547 kB/s
104.24.62.133,,,,203 毫秒,10547 kB/s
104.17.5.156,,,,166 毫秒,10547 kB/s
104.25.10.242,,,,202 毫秒,10547 kB/s
172.67.84.50,,,,195 毫秒,10547 kB/s
104.18.47.240,,,,199 毫秒,10547 kB/s
104.21.105.209,,,,205 毫秒,10547 kB/s
104.19.133.200,,,,206 毫秒,10547 kB/s
104.17.231.14,,,,189 毫秒,10547 kB/s
104.21.210.55,,,,192 毫秒,10547 kB/s
104.16.155.220,,,,160 毫秒,10547 kB/s
104.23.139.102,,,,198 毫秒,10547 kB/s
104.16.237.85,,,,190 毫秒,10547 kB/s
104.16.147.221,,,,167 毫秒,10547 kB/s
162.159.242.143,,,,197 毫秒,10547 kB/s
104.21.239.9,,,,188 毫秒,10547 kB/s
104.24.247.163,,,,205 毫秒,10547 kB/s
104.19.157.93,,,,166 毫秒,10547 kB/s
104.16.21.176,,,,173 毫秒,10547 kB/s
104.22.64.232,,,,195 毫秒,10547 kB/s
104.21.235.195,,,,166 毫秒,10547 kB/s
104.16.198.68,,,,189 毫秒,10547 kB/s
104.27.71.56,,,,200 毫秒,10547 kB/s
172.67.199.159,,,,302 毫秒,10547 kB/s
104.16.106.241,,,,188 毫秒,10649 kB/s
104.16.70.160,,,,248 毫秒,10649 kB/s
104.25.177.55,,,,250 毫秒,10649 kB/s
104.16.61.69,,,,179 毫秒,10649 kB/s
104.27.100.26,,,,217 毫秒,10649 kB/s
104.19.214.161,,,,173 毫秒,10649 kB/s
172.67.176.27,,,,237 毫秒,10649 kB/s
104.27.114.150,,,,205 毫秒,10649 kB/s
104.19.60.235,,,,207 毫秒,10649 kB/s
104.17.12.22,,,,176 毫秒,10649 kB/s
172.64.42.134,,,,193 毫秒,10649 kB/s
104.20.187.97,,,,193 毫秒,10649 kB/s
104.17.1.13,,,,167 毫秒,10649 kB/s
104.19.110.203,,,,192 毫秒,10649 kB/s
172.67.166.60,,,,246 毫秒,10649 kB/s
104.19.171.230,,,,192 毫秒,10649 kB/s
104.16.6.121,,,,171 毫秒,10649 kB/s
104.19.161.163,,,,171 毫秒,10649 kB/s
104.20.42.14,,,,195 毫秒,10649 kB/s
172.67.127.237,,,,197 毫秒,10649 kB/s
