IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.18.96.92,,,,167 毫秒,10854 kB/s
104.16.49.116,,,,170 毫秒,10854 kB/s
104.17.187.43,,,,179 毫秒,10854 kB/s
104.16.246.163,,,,175 毫秒,10854 kB/s
104.17.168.11,,,,161 毫秒,10854 kB/s
104.17.170.226,,,,169 毫秒,10854 kB/s
104.20.10.52,,,,190 毫秒,10854 kB/s
104.25.211.30,,,,195 毫秒,10854 kB/s
104.16.123.41,,,,166 毫秒,10854 kB/s
172.67.198.69,,,,198 毫秒,10854 kB/s
172.67.33.53,,,,197 毫秒,10854 kB/s
104.17.160.155,,,,185 毫秒,10854 kB/s
104.20.223.228,,,,198 毫秒,10854 kB/s
104.16.22.36,,,,185 毫秒,10854 kB/s
104.21.205.8,,,,198 毫秒,10854 kB/s
104.20.58.31,,,,192 毫秒,10854 kB/s
104.24.79.138,,,,202 毫秒,10854 kB/s
104.19.156.29,,,,163 毫秒,10854 kB/s
104.27.77.227,,,,205 毫秒,10854 kB/s
104.17.244.225,,,,169 毫秒,10854 kB/s
172.67.16.213,,,,201 毫秒,10854 kB/s
104.20.241.16,,,,203 毫秒,10854 kB/s
104.16.83.15,,,,160 毫秒,10854 kB/s
104.18.126.179,,,,164 毫秒,10854 kB/s
104.16.75.108,,,,167 毫秒,10854 kB/s
104.16.53.250,,,,178 毫秒,10854 kB/s
104.25.155.52,,,,187 毫秒,10854 kB/s
104.16.90.163,,,,190 毫秒,10854 kB/s
104.16.121.105,,,,170 毫秒,10854 kB/s
104.17.189.175,,,,171 毫秒,10854 kB/s
104.27.86.50,,,,200 毫秒,10854 kB/s
104.23.140.136,,,,201 毫秒,10854 kB/s
104.19.157.109,,,,169 毫秒,10854 kB/s
104.18.184.118,,,,186 毫秒,10854 kB/s
104.17.191.117,,,,163 毫秒,10854 kB/s
104.22.52.25,,,,203 毫秒,10854 kB/s
104.20.114.193,,,,198 毫秒,10854 kB/s
172.64.157.150,,,,207 毫秒,10854 kB/s
104.16.119.20,,,,162 毫秒,10854 kB/s
104.18.107.220,,,,162 毫秒,10854 kB/s
104.16.6.12,,,,158 毫秒,10854 kB/s
104.23.140.150,,,,198 毫秒,10854 kB/s
104.21.23.142,,,,201 毫秒,10854 kB/s
104.18.181.0,,,,169 毫秒,10854 kB/s
104.19.220.60,,,,167 毫秒,10854 kB/s
104.17.55.99,,,,170 毫秒,10854 kB/s
104.17.26.81,,,,176 毫秒,10854 kB/s
104.19.4.138,,,,202 毫秒,10854 kB/s
104.16.181.13,,,,168 毫秒,10854 kB/s
104.21.11.163,,,,206 毫秒,10854 kB/s
104.16.231.190,,,,166 毫秒,10854 kB/s
104.17.47.228,,,,161 毫秒,10854 kB/s
104.19.74.122,,,,189 毫秒,10854 kB/s
104.19.169.182,,,,191 毫秒,10854 kB/s
104.19.232.133,,,,161 毫秒,10854 kB/s
104.19.236.141,,,,170 毫秒,10854 kB/s
172.67.80.240,,,,190 毫秒,10854 kB/s
104.18.119.253,,,,204 毫秒,10956 kB/s
104.17.110.121,,,,217 毫秒,10956 kB/s
104.19.75.139,,,,239 毫秒,10956 kB/s
104.17.187.238,,,,213 毫秒,10956 kB/s
104.18.16.58,,,,213 毫秒,10956 kB/s
104.16.142.235,,,,236 毫秒,10956 kB/s
104.17.223.100,,,,217 毫秒,10956 kB/s
172.64.156.145,,,,206 毫秒,10956 kB/s
104.20.74.41,,,,195 毫秒,10956 kB/s
104.16.142.24,,,,225 毫秒,10956 kB/s
104.18.245.34,,,,171 毫秒,10956 kB/s
104.17.103.189,,,,190 毫秒,10956 kB/s
104.25.35.45,,,,199 毫秒,10956 kB/s
104.17.172.156,,,,178 毫秒,10956 kB/s
104.27.73.117,,,,224 毫秒,10956 kB/s
104.17.203.54,,,,173 毫秒,10956 kB/s
104.18.232.196,,,,173 毫秒,10956 kB/s
104.24.215.250,,,,242 毫秒,10956 kB/s
104.18.105.135,,,,172 毫秒,10956 kB/s
104.17.225.13,,,,158 毫秒,10956 kB/s
104.19.221.215,,,,170 毫秒,10956 kB/s
104.18.229.131,,,,164 毫秒,10956 kB/s
104.27.52.116,,,,204 毫秒,10956 kB/s
104.16.126.177,,,,175 毫秒,10956 kB/s
104.27.55.60,,,,203 毫秒,10956 kB/s
172.67.54.21,,,,199 毫秒,10956 kB/s
104.23.143.140,,,,190 毫秒,10956 kB/s
104.24.142.216,,,,196 毫秒,10956 kB/s
172.67.7.65,,,,205 毫秒,10956 kB/s
104.22.28.113,,,,199 毫秒,10956 kB/s
104.21.99.237,,,,245 毫秒,10956 kB/s
104.17.50.89,,,,184 毫秒,10956 kB/s
104.21.7.159,,,,224 毫秒,10956 kB/s
172.67.162.195,,,,194 毫秒,10956 kB/s
162.159.142.105,,,,201 毫秒,10956 kB/s
104.16.13.219,,,,179 毫秒,10956 kB/s
104.18.80.219,,,,157 毫秒,10956 kB/s
104.16.8.63,,,,167 毫秒,10956 kB/s
172.67.187.157,,,,197 毫秒,10956 kB/s
162.159.193.147,,,,204 毫秒,10956 kB/s
104.17.243.36,,,,162 毫秒,10956 kB/s
104.18.147.145,,,,161 毫秒,10956 kB/s
104.25.48.20,,,,202 毫秒,10956 kB/s
104.18.137.112,,,,166 毫秒,10956 kB/s
104.25.149.20,,,,205 毫秒,10956 kB/s
104.24.7.131,,,,212 毫秒,10956 kB/s
104.20.252.70,,,,194 毫秒,10956 kB/s
104.24.59.222,,,,194 毫秒,10956 kB/s
104.21.15.174,,,,193 毫秒,10956 kB/s
104.17.164.109,,,,166 毫秒,10956 kB/s
104.19.249.143,,,,160 毫秒,10956 kB/s
104.20.42.21,,,,206 毫秒,10956 kB/s
172.67.240.206,,,,184 毫秒,10956 kB/s
104.16.217.168,,,,165 毫秒,10956 kB/s
104.17.117.62,,,,165 毫秒,10956 kB/s
104.17.201.88,,,,167 毫秒,10956 kB/s
104.16.29.75,,,,174 毫秒,10956 kB/s
104.16.147.79,,,,179 毫秒,10956 kB/s
104.24.71.255,,,,205 毫秒,10956 kB/s
104.17.65.128,,,,163 毫秒,10956 kB/s
104.17.84.222,,,,179 毫秒,10956 kB/s
104.25.228.77,,,,201 毫秒,10956 kB/s
104.23.128.204,,,,183 毫秒,10956 kB/s
104.25.218.99,,,,197 毫秒,10956 kB/s
104.16.218.227,,,,165 毫秒,10956 kB/s
104.19.227.92,,,,172 毫秒,10956 kB/s
104.25.169.251,,,,202 毫秒,10956 kB/s
172.67.134.172,,,,202 毫秒,10956 kB/s
104.19.225.90,,,,157 毫秒,10956 kB/s
104.16.134.92,,,,177 毫秒,10956 kB/s
104.18.149.152,,,,161 毫秒,10956 kB/s
104.17.80.145,,,,167 毫秒,10956 kB/s
172.67.40.216,,,,197 毫秒,10956 kB/s
104.19.88.112,,,,193 毫秒,10956 kB/s
172.67.84.9,,,,204 毫秒,10956 kB/s
104.23.143.247,,,,190 毫秒,10956 kB/s
104.26.2.102,,,,090 毫秒,10956 kB/s
104.24.141.244,,,,210 毫秒,10956 kB/s
104.19.232.107,,,,166 毫秒,10956 kB/s
104.18.101.115,,,,164 毫秒,10956 kB/s
104.27.7.209,,,,206 毫秒,10956 kB/s
104.17.28.99,,,,159 毫秒,10956 kB/s
104.21.214.206,,,,193 毫秒,10956 kB/s
104.17.247.179,,,,162 毫秒,10956 kB/s
104.17.1.208,,,,178 毫秒,10956 kB/s
104.16.166.121,,,,159 毫秒,10956 kB/s
172.67.175.250,,,,196 毫秒,10956 kB/s
104.25.124.188,,,,202 毫秒,10956 kB/s
104.16.29.146,,,,169 毫秒,10956 kB/s
104.21.237.67,,,,182 毫秒,10956 kB/s
104.20.7.63,,,,202 毫秒,10956 kB/s
108.162.195.93,,,,198 毫秒,10956 kB/s
104.19.238.154,,,,183 毫秒,10956 kB/s
104.27.87.241,,,,197 毫秒,10956 kB/s
104.16.163.196,,,,159 毫秒,10956 kB/s
104.24.178.88,,,,198 毫秒,10956 kB/s
172.67.23.84,,,,201 毫秒,10956 kB/s
104.27.44.250,,,,202 毫秒,10956 kB/s
104.16.77.142,,,,178 毫秒,10956 kB/s
104.18.52.222,,,,202 毫秒,10956 kB/s
172.66.46.71,,,,189 毫秒,10956 kB/s
104.20.254.72,,,,195 毫秒,10956 kB/s
172.64.231.194,,,,201 毫秒,10956 kB/s
172.66.44.246,,,,196 毫秒,10956 kB/s
104.16.119.98,,,,164 毫秒,10956 kB/s
104.19.188.189,,,,169 毫秒,10956 kB/s
104.20.255.107,,,,194 毫秒,10956 kB/s
104.17.216.124,,,,169 毫秒,10956 kB/s
104.18.67.245,,,,169 毫秒,10956 kB/s
104.17.150.55,,,,175 毫秒,10956 kB/s
104.19.30.248,,,,202 毫秒,10956 kB/s
172.66.47.253,,,,208 毫秒,11059 kB/s
104.16.151.180,,,,251 毫秒,11059 kB/s
162.159.128.237,,,,209 毫秒,11059 kB/s
104.18.177.67,,,,229 毫秒,11059 kB/s
104.16.219.194,,,,230 毫秒,11059 kB/s
104.17.157.127,,,,231 毫秒,11059 kB/s
104.23.106.94,,,,239 毫秒,11059 kB/s
104.18.84.13,,,,204 毫秒,11059 kB/s
104.24.255.140,,,,208 毫秒,11059 kB/s
198.41.222.8,,,,202 毫秒,11059 kB/s
172.64.35.10,,,,210 毫秒,11059 kB/s
104.23.125.240,,,,201 毫秒,11059 kB/s
104.19.222.10,,,,162 毫秒,11059 kB/s
104.18.247.133,,,,188 毫秒,11059 kB/s
104.23.115.91,,,,197 毫秒,11059 kB/s
104.17.195.58,,,,188 毫秒,11059 kB/s
104.19.92.114,,,,193 毫秒,11059 kB/s
104.25.205.177,,,,202 毫秒,11059 kB/s
104.18.107.231,,,,176 毫秒,11059 kB/s
104.25.45.140,,,,196 毫秒,11059 kB/s
104.19.53.218,,,,197 毫秒,11059 kB/s
104.27.112.206,,,,204 毫秒,11059 kB/s
172.64.50.216,,,,199 毫秒,11059 kB/s
104.17.182.179,,,,200 毫秒,11059 kB/s
104.18.138.221,,,,158 毫秒,11059 kB/s
104.16.218.77,,,,179 毫秒,11059 kB/s
104.19.122.175,,,,195 毫秒,11059 kB/s
104.20.204.151,,,,198 毫秒,11059 kB/s
104.24.150.98,,,,196 毫秒,11059 kB/s
104.16.233.249,,,,196 毫秒,11059 kB/s
172.67.152.147,,,,257 毫秒,11059 kB/s
104.18.143.63,,,,164 毫秒,11059 kB/s
172.64.84.43,,,,195 毫秒,11059 kB/s
172.67.150.225,,,,261 毫秒,11059 kB/s
104.27.7.240,,,,200 毫秒,11059 kB/s
162.159.134.233,,,,204 毫秒,11059 kB/s
104.21.110.222,,,,195 毫秒,11059 kB/s
104.16.20.22,,,,164 毫秒,11059 kB/s
104.19.124.51,,,,197 毫秒,11059 kB/s
162.159.42.125,,,,213 毫秒,11059 kB/s
104.17.87.216,,,,157 毫秒,11059 kB/s
104.21.2.114,,,,259 毫秒,11059 kB/s
104.25.92.105,,,,204 毫秒,11059 kB/s
104.19.25.44,,,,189 毫秒,11059 kB/s
104.18.165.131,,,,179 毫秒,11059 kB/s
104.24.24.47,,,,207 毫秒,11059 kB/s
172.67.170.150,,,,191 毫秒,11059 kB/s
104.17.140.130,,,,175 毫秒,11059 kB/s
104.21.44.13,,,,198 毫秒,11059 kB/s
104.21.1.26,,,,206 毫秒,11059 kB/s
104.17.163.77,,,,186 毫秒,11059 kB/s
104.20.241.97,,,,196 毫秒,11059 kB/s
104.17.72.84,,,,171 毫秒,11059 kB/s
104.23.131.235,,,,186 毫秒,11059 kB/s
104.16.32.194,,,,161 毫秒,11059 kB/s
104.17.229.35,,,,172 毫秒,11059 kB/s
104.19.129.73,,,,201 毫秒,11059 kB/s
104.23.130.33,,,,187 毫秒,11059 kB/s
172.67.160.14,,,,198 毫秒,11059 kB/s
172.67.183.159,,,,208 毫秒,11059 kB/s
104.18.211.42,,,,161 毫秒,11059 kB/s
104.27.43.237,,,,185 毫秒,11059 kB/s
104.27.82.213,,,,208 毫秒,11059 kB/s
104.25.240.133,,,,194 毫秒,11059 kB/s
104.25.255.252,,,,200 毫秒,11059 kB/s
104.25.236.66,,,,205 毫秒,11059 kB/s
104.20.56.223,,,,192 毫秒,11059 kB/s
104.18.66.15,,,,165 毫秒,11059 kB/s
104.24.139.73,,,,195 毫秒,11059 kB/s
104.18.85.154,,,,158 毫秒,11059 kB/s
172.64.34.82,,,,190 毫秒,11059 kB/s
104.27.200.211,,,,192 毫秒,11059 kB/s
104.19.52.59,,,,193 毫秒,11059 kB/s
172.67.186.31,,,,196 毫秒,11059 kB/s
104.27.19.94,,,,202 毫秒,11059 kB/s
104.16.232.117,,,,168 毫秒,11059 kB/s
104.16.171.58,,,,191 毫秒,11059 kB/s
104.25.75.202,,,,203 毫秒,11059 kB/s
104.25.206.135,,,,205 毫秒,11059 kB/s
104.18.46.181,,,,197 毫秒,11059 kB/s
104.18.28.65,,,,208 毫秒,11059 kB/s
104.17.146.110,,,,170 毫秒,11059 kB/s
104.20.243.188,,,,192 毫秒,11059 kB/s
104.17.103.185,,,,164 毫秒,11059 kB/s
104.20.87.134,,,,207 毫秒,11059 kB/s
104.20.159.211,,,,202 毫秒,11059 kB/s
104.27.46.204,,,,207 毫秒,11059 kB/s
104.19.227.66,,,,165 毫秒,11059 kB/s
104.20.84.182,,,,205 毫秒,11059 kB/s
104.16.210.26,,,,169 毫秒,11059 kB/s
104.19.157.138,,,,171 毫秒,11059 kB/s
104.17.202.220,,,,183 毫秒,11059 kB/s
104.17.106.88,,,,161 毫秒,11059 kB/s
104.18.213.93,,,,187 毫秒,11059 kB/s
162.159.134.21,,,,206 毫秒,11059 kB/s
104.19.51.64,,,,209 毫秒,11059 kB/s
104.16.189.249,,,,188 毫秒,11059 kB/s
104.23.123.6,,,,196 毫秒,11059 kB/s
172.66.47.172,,,,203 毫秒,11059 kB/s
104.21.206.63,,,,184 毫秒,11059 kB/s
104.18.60.137,,,,202 毫秒,11059 kB/s
104.25.162.210,,,,204 毫秒,11059 kB/s
104.18.137.99,,,,173 毫秒,11059 kB/s
104.18.152.212,,,,174 毫秒,11059 kB/s
104.16.186.192,,,,172 毫秒,11059 kB/s
104.24.8.20,,,,193 毫秒,11059 kB/s
104.22.5.158,,,,199 毫秒,11059 kB/s
172.67.4.99,,,,198 毫秒,11059 kB/s
104.23.132.58,,,,200 毫秒,11059 kB/s
104.25.13.132,,,,192 毫秒,11059 kB/s
104.21.94.156,,,,196 毫秒,11059 kB/s
104.16.115.203,,,,177 毫秒,11059 kB/s
104.21.120.125,,,,196 毫秒,11059 kB/s
104.27.202.184,,,,200 毫秒,11059 kB/s
104.24.162.58,,,,203 毫秒,11059 kB/s
104.16.117.67,,,,189 毫秒,11059 kB/s
104.19.46.214,,,,193 毫秒,11059 kB/s
172.67.41.118,,,,193 毫秒,11059 kB/s
104.24.173.4,,,,198 毫秒,11059 kB/s
104.19.173.105,,,,176 毫秒,11059 kB/s
104.18.138.97,,,,180 毫秒,11059 kB/s
104.20.7.93,,,,198 毫秒,11059 kB/s
104.22.58.225,,,,200 毫秒,11059 kB/s
172.67.107.59,,,,212 毫秒,11059 kB/s
104.17.117.118,,,,211 毫秒,11161 kB/s
104.17.22.18,,,,218 毫秒,11161 kB/s
104.24.23.149,,,,260 毫秒,11161 kB/s
104.18.159.61,,,,245 毫秒,11161 kB/s
104.24.196.133,,,,256 毫秒,11161 kB/s
104.17.104.50,,,,222 毫秒,11161 kB/s
104.18.159.19,,,,191 毫秒,11161 kB/s
172.67.18.218,,,,263 毫秒,11161 kB/s
162.159.60.67,,,,204 毫秒,11161 kB/s
104.16.117.134,,,,206 毫秒,11161 kB/s
104.16.38.232,,,,233 毫秒,11161 kB/s
104.16.8.82,,,,178 毫秒,11161 kB/s
104.25.169.50,,,,202 毫秒,11161 kB/s
172.66.2.143,,,,199 毫秒,11161 kB/s
104.17.246.101,,,,218 毫秒,11161 kB/s
104.24.37.212,,,,223 毫秒,11161 kB/s
104.19.228.13,,,,176 毫秒,11161 kB/s
104.20.184.254,,,,202 毫秒,11161 kB/s
104.17.244.11,,,,168 毫秒,11161 kB/s
172.67.58.196,,,,197 毫秒,11161 kB/s
104.19.11.79,,,,199 毫秒,11161 kB/s
104.19.117.104,,,,200 毫秒,11161 kB/s
104.24.84.86,,,,203 毫秒,11161 kB/s
104.20.209.194,,,,205 毫秒,11161 kB/s
104.24.3.196,,,,230 毫秒,11161 kB/s
104.20.120.217,,,,201 毫秒,11161 kB/s
172.67.99.57,,,,202 毫秒,11161 kB/s
104.17.64.224,,,,180 毫秒,11161 kB/s
104.19.11.99,,,,201 毫秒,11161 kB/s
104.18.215.242,,,,159 毫秒,11161 kB/s
104.17.70.124,,,,172 毫秒,11161 kB/s
104.16.89.96,,,,179 毫秒,11161 kB/s
104.20.186.102,,,,198 毫秒,11161 kB/s
104.17.207.202,,,,164 毫秒,11161 kB/s
104.18.136.29,,,,167 毫秒,11161 kB/s
104.16.55.30,,,,173 毫秒,11161 kB/s
104.22.43.123,,,,200 毫秒,11161 kB/s
104.17.17.159,,,,180 毫秒,11161 kB/s
104.17.87.198,,,,181 毫秒,11161 kB/s
104.19.149.205,,,,186 毫秒,11161 kB/s
104.19.14.107,,,,199 毫秒,11161 kB/s
104.17.84.209,,,,157 毫秒,11161 kB/s
104.17.12.43,,,,175 毫秒,11161 kB/s
104.27.72.167,,,,193 毫秒,11161 kB/s
104.19.126.39,,,,197 毫秒,11161 kB/s
104.19.121.159,,,,199 毫秒,11161 kB/s
104.17.44.55,,,,157 毫秒,11161 kB/s
104.17.103.170,,,,160 毫秒,11161 kB/s
104.17.233.196,,,,180 毫秒,11161 kB/s
104.17.1.155,,,,191 毫秒,11161 kB/s
104.19.45.101,,,,199 毫秒,11161 kB/s
162.159.19.216,,,,205 毫秒,11161 kB/s
104.19.116.107,,,,206 毫秒,11161 kB/s
190.93.246.196,,,,183 毫秒,11161 kB/s
172.67.19.173,,,,189 毫秒,11161 kB/s
162.159.239.27,,,,207 毫秒,11161 kB/s
104.21.92.142,,,,227 毫秒,11161 kB/s
104.21.118.2,,,,233 毫秒,11161 kB/s
104.17.48.71,,,,181 毫秒,11161 kB/s
104.20.119.195,,,,202 毫秒,11161 kB/s
172.67.170.156,,,,197 毫秒,11161 kB/s
172.67.228.55,,,,198 毫秒,11161 kB/s
104.20.168.1,,,,192 毫秒,11161 kB/s
104.25.22.196,,,,198 毫秒,11161 kB/s
172.67.238.253,,,,194 毫秒,11161 kB/s
104.24.152.172,,,,202 毫秒,11161 kB/s
104.27.119.42,,,,204 毫秒,11161 kB/s
172.67.44.141,,,,208 毫秒,11161 kB/s
104.18.113.155,,,,158 毫秒,11161 kB/s
104.21.230.97,,,,180 毫秒,11161 kB/s
104.18.210.177,,,,189 毫秒,11161 kB/s
104.18.52.236,,,,197 毫秒,11161 kB/s
104.25.181.166,,,,200 毫秒,11161 kB/s
104.25.135.76,,,,192 毫秒,11161 kB/s
104.22.69.199,,,,200 毫秒,11161 kB/s
104.21.72.62,,,,202 毫秒,11161 kB/s
104.19.212.59,,,,168 毫秒,11161 kB/s
104.24.140.169,,,,194 毫秒,11161 kB/s
104.20.212.154,,,,199 毫秒,11161 kB/s
104.20.133.229,,,,205 毫秒,11161 kB/s
104.27.86.154,,,,205 毫秒,11161 kB/s
104.18.12.143,,,,192 毫秒,11161 kB/s
104.25.187.195,,,,201 毫秒,11161 kB/s
104.27.85.151,,,,203 毫秒,11161 kB/s
162.159.198.86,,,,208 毫秒,11161 kB/s
104.27.100.210,,,,205 毫秒,11161 kB/s
104.24.229.34,,,,207 毫秒,11161 kB/s
104.17.171.60,,,,168 毫秒,11161 kB/s
104.17.222.192,,,,173 毫秒,11161 kB/s
104.21.77.57,,,,201 毫秒,11161 kB/s
104.20.144.77,,,,208 毫秒,11161 kB/s
104.24.59.17,,,,193 毫秒,11161 kB/s
172.64.80.52,,,,202 毫秒,11161 kB/s
104.17.165.237,,,,158 毫秒,11161 kB/s
104.16.191.190,,,,169 毫秒,11161 kB/s
198.41.209.206,,,,177 毫秒,11161 kB/s
104.17.177.172,,,,178 毫秒,11161 kB/s
104.24.69.33,,,,204 毫秒,11161 kB/s
104.16.40.54,,,,177 毫秒,11161 kB/s
104.25.219.74,,,,189 毫秒,11161 kB/s
104.24.172.85,,,,203 毫秒,11161 kB/s
104.20.45.29,,,,205 毫秒,11161 kB/s
104.24.207.165,,,,210 毫秒,11161 kB/s
104.16.169.67,,,,162 毫秒,11161 kB/s
104.20.162.3,,,,206 毫秒,11161 kB/s
104.25.209.17,,,,197 毫秒,11161 kB/s
162.159.195.10,,,,198 毫秒,11161 kB/s
104.24.227.115,,,,200 毫秒,11161 kB/s
172.67.126.175,,,,200 毫秒,11161 kB/s
104.19.199.220,,,,205 毫秒,11161 kB/s
104.18.131.122,,,,172 毫秒,11161 kB/s
172.67.94.154,,,,199 毫秒,11161 kB/s
104.24.205.52,,,,205 毫秒,11161 kB/s
104.18.113.217,,,,157 毫秒,11161 kB/s
104.21.102.153,,,,196 毫秒,11161 kB/s
104.19.173.101,,,,161 毫秒,11161 kB/s
104.18.129.92,,,,191 毫秒,11161 kB/s
104.25.227.26,,,,201 毫秒,11161 kB/s
104.18.236.65,,,,188 毫秒,11161 kB/s
104.24.250.169,,,,196 毫秒,11161 kB/s
104.19.94.193,,,,199 毫秒,11161 kB/s
104.20.129.132,,,,203 毫秒,11161 kB/s
104.19.247.51,,,,162 毫秒,11161 kB/s
104.21.10.214,,,,191 毫秒,11161 kB/s
172.67.21.164,,,,201 毫秒,11161 kB/s
162.159.24.175,,,,205 毫秒,11161 kB/s
104.24.78.61,,,,209 毫秒,11161 kB/s
104.24.218.20,,,,193 毫秒,11161 kB/s
104.19.1.5,,,,197 毫秒,11161 kB/s
172.67.42.126,,,,206 毫秒,11161 kB/s
104.16.237.48,,,,174 毫秒,11161 kB/s
104.24.90.229,,,,191 毫秒,11161 kB/s
104.23.117.30,,,,192 毫秒,11161 kB/s
104.22.5.225,,,,204 毫秒,11161 kB/s
162.159.195.22,,,,205 毫秒,11161 kB/s
104.17.130.236,,,,168 毫秒,11161 kB/s
104.21.65.216,,,,193 毫秒,11161 kB/s
104.22.44.66,,,,202 毫秒,11161 kB/s
104.25.175.187,,,,202 毫秒,11161 kB/s
104.21.195.168,,,,205 毫秒,11161 kB/s
162.159.142.193,,,,205 毫秒,11161 kB/s
104.17.204.187,,,,158 毫秒,11161 kB/s
104.21.12.206,,,,198 毫秒,11161 kB/s
173.245.49.244,,,,201 毫秒,11161 kB/s
104.20.36.33,,,,204 毫秒,11161 kB/s
104.21.1.160,,,,205 毫秒,11161 kB/s
104.24.1.20,,,,195 毫秒,11161 kB/s
162.159.128.190,,,,198 毫秒,11161 kB/s
172.67.181.149,,,,199 毫秒,11161 kB/s
104.23.142.184,,,,202 毫秒,11161 kB/s
104.17.102.86,,,,157 毫秒,11161 kB/s
104.17.141.55,,,,197 毫秒,11161 kB/s
104.19.35.169,,,,200 毫秒,11161 kB/s
104.22.35.6,,,,201 毫秒,11161 kB/s
104.20.91.108,,,,196 毫秒,11161 kB/s
104.21.52.222,,,,204 毫秒,11161 kB/s
104.16.221.190,,,,164 毫秒,11161 kB/s
104.17.120.162,,,,176 毫秒,11161 kB/s
104.16.35.11,,,,179 毫秒,11161 kB/s
104.24.4.73,,,,200 毫秒,11161 kB/s
104.20.123.107,,,,202 毫秒,11161 kB/s
172.64.152.14,,,,203 毫秒,11161 kB/s
104.25.106.74,,,,194 毫秒,11161 kB/s
104.21.19.171,,,,200 毫秒,11161 kB/s
172.64.84.120,,,,206 毫秒,11161 kB/s
104.24.148.133,,,,198 毫秒,11161 kB/s
104.20.86.16,,,,203 毫秒,11161 kB/s
104.18.90.237,,,,161 毫秒,11161 kB/s
104.19.227.38,,,,169 毫秒,11161 kB/s
104.16.217.253,,,,175 毫秒,11161 kB/s
104.16.64.68,,,,182 毫秒,11161 kB/s
104.21.91.243,,,,192 毫秒,11161 kB/s
104.24.74.59,,,,197 毫秒,11161 kB/s
104.21.99.77,,,,206 毫秒,11161 kB/s
172.67.46.90,,,,206 毫秒,11161 kB/s
104.23.121.16,,,,196 毫秒,11161 kB/s
104.21.115.150,,,,200 毫秒,11161 kB/s
104.19.126.171,,,,199 毫秒,11161 kB/s
104.20.58.199,,,,202 毫秒,11161 kB/s
104.20.155.160,,,,192 毫秒,11161 kB/s
104.21.87.179,,,,205 毫秒,11161 kB/s
104.24.133.200,,,,193 毫秒,11161 kB/s
104.23.108.57,,,,205 毫秒,11161 kB/s
104.19.85.172,,,,206 毫秒,11161 kB/s
104.25.254.184,,,,200 毫秒,11161 kB/s
162.159.7.44,,,,208 毫秒,11161 kB/s
104.16.206.112,,,,173 毫秒,11161 kB/s
172.67.239.11,,,,194 毫秒,11161 kB/s
104.22.34.91,,,,205 毫秒,11161 kB/s
104.17.42.164,,,,168 毫秒,11161 kB/s
104.17.166.88,,,,172 毫秒,11161 kB/s
104.18.132.166,,,,182 毫秒,11161 kB/s
104.25.146.221,,,,194 毫秒,11161 kB/s
104.21.69.62,,,,199 毫秒,11161 kB/s
104.16.15.25,,,,185 毫秒,11161 kB/s
104.24.208.90,,,,192 毫秒,11161 kB/s
162.159.19.95,,,,201 毫秒,11161 kB/s
104.16.199.156,,,,184 毫秒,11161 kB/s
104.16.18.45,,,,178 毫秒,11161 kB/s
104.23.109.245,,,,197 毫秒,11161 kB/s
104.27.74.196,,,,194 毫秒,11161 kB/s
104.19.52.103,,,,197 毫秒,11161 kB/s
104.19.199.14,,,,200 毫秒,11161 kB/s
104.19.85.117,,,,202 毫秒,11161 kB/s
172.66.46.15,,,,204 毫秒,11161 kB/s
104.17.91.140,,,,196 毫秒,11264 kB/s
104.16.204.62,,,,245 毫秒,11264 kB/s
104.19.221.9,,,,256 毫秒,11264 kB/s
104.17.80.72,,,,264 毫秒,11264 kB/s
172.66.43.70,,,,207 毫秒,11264 kB/s
104.17.53.89,,,,238 毫秒,11264 kB/s
104.16.9.141,,,,212 毫秒,11264 kB/s
104.17.175.142,,,,207 毫秒,11264 kB/s
104.27.86.93,,,,248 毫秒,11264 kB/s
104.16.46.72,,,,175 毫秒,11264 kB/s
104.16.102.140,,,,183 毫秒,11264 kB/s
104.25.122.34,,,,227 毫秒,11264 kB/s
104.16.55.227,,,,200 毫秒,11264 kB/s
104.19.12.130,,,,200 毫秒,11264 kB/s
104.27.28.177,,,,207 毫秒,11264 kB/s
104.19.121.2,,,,217 毫秒,11264 kB/s
104.17.213.103,,,,185 毫秒,11264 kB/s
104.20.85.45,,,,200 毫秒,11264 kB/s
104.17.114.87,,,,210 毫秒,11264 kB/s
104.20.154.159,,,,205 毫秒,11264 kB/s
172.67.101.174,,,,207 毫秒,11264 kB/s
104.16.197.21,,,,163 毫秒,11264 kB/s
104.16.145.20,,,,180 毫秒,11264 kB/s
104.22.46.5,,,,191 毫秒,11264 kB/s
104.18.10.186,,,,195 毫秒,11264 kB/s
104.19.80.188,,,,203 毫秒,11264 kB/s
104.24.174.115,,,,208 毫秒,11264 kB/s
104.17.234.167,,,,173 毫秒,11264 kB/s
104.19.79.26,,,,192 毫秒,11264 kB/s
104.20.89.27,,,,203 毫秒,11264 kB/s
104.18.53.226,,,,212 毫秒,11264 kB/s
104.17.21.42,,,,170 毫秒,11264 kB/s
104.23.107.82,,,,201 毫秒,11264 kB/s
104.19.192.84,,,,205 毫秒,11264 kB/s
104.17.124.235,,,,157 毫秒,11264 kB/s
104.18.188.201,,,,180 毫秒,11264 kB/s
104.25.223.254,,,,190 毫秒,11264 kB/s
104.20.214.99,,,,197 毫秒,11264 kB/s
198.41.200.208,,,,202 毫秒,11264 kB/s
104.27.24.240,,,,210 毫秒,11264 kB/s
